Abilene Christian University	info@admissions.acu.edu
Academy Of Art University	admissions@academyart.edu
Acadia University	admissions@acadiau.ca
Adams State University	admissions@adams.edu
Adelphi University	admissions@adelphi.edu
Adrian College	admissions@adrian.edu
Agnes Scott College	admission@agnesscott.edu
Alabama Agricultural And Mechanical University	admissions@aamu.edu
Alabama State University	admissions@alasu.edu
Alaska Bible College	info@akbible.edu
Alaska Pacific University	admissions@alaskapacific.edu
Albany College Pharmacy And Health Sciences	admissions@acphs.edu
Albany State University	admissions@asurams.edu
Albertus Magnus College	admissions@albertus.edu
Albion College	admission@albion.edu
Albright College	admission@alb.edu
Alcorn State University	ksampson@alcorn.edu
Alderson Broaddus University	admissions@ab.edu
Alfred University	admissions@alfred.edu
Alice Lloyd College	admissions@alc.edu
Allegheny College	admissions@allegheny.edu
Allen College	admissions@allencollege.edu
Allen University	admissions@allenuniversity.edu
Alma College	admissions@alma.edu
Alvernia University	admissions@alvernia.edu
Alverno College	admissions@alverno.edu
American Baptist College	atrice@abcnash.edu
American International College	admissions@aic.edu
American Jewish University	admissions@aju.edu
American University	admissions@american.edu
American University Beirut Aub	admissions@aub.edu.lb
American University Bulgaria	admissions@aubg.edu
American University Paris	admissions@aup.edu
American University Rome	admissions@aur.edu
Amherst College	admission@amherst.edu
Anderson University	info@anderson.edu
Andrews University	enroll@andrews.edu
Angelo State University	admissions@angelo.edu
Anna Maria College	admission@annamaria.edu
Antioch College	admission@antiochcollege.edu
Appalachian Bible College	admissions@abc.edu
Appalachian State University	admissions@appstate.edu
Aquinas College	admissions@aquinas.edu
Aquinas College	admissions@aquinascollege.edu
Arcadia University	admiss@arcadia.edu
Arizona Christian University	admissions@arizonachristian.edu
Arizona State University	admissions@asu.edu
Arkansas Baptist College	admissions@arkansasbaptist.edu
Arkansas State University	admissions@astate.edu
Arkansas Tech University	tech.enroll@atu.edu
Arlington Baptist University	kmarvin@arlingtonbaptistcollege.edu
Art Academy Cincinnati	admissions@artacademy.edu
Art Center College Of Design	admissions@artcenter.edu
Arts University Bournemouth Uk	admissions@aub.ac.uk
Asbury University	admissions@asbury.edu
Ashland University	enrollme@ashland.edu
Assumption College	admiss@assumption.edu
Athens State University	admissions@athens.edu
Auburn University	admissions@auburn.edu
Auburn University At Montgomery	admissions@aum.edu
Augsburg University	admissions@augsburg.edu
Augusta University	admissions@augusta.edu
Augustana College Illinois	admissions@augustana.edu
Augustana University South Dakota	admission@augie.edu
Aurora University	admission@aurora.edu
Austin College	admission@austincollege.edu
Austin Graduate School Of Theology	admissions@austingrad.edu
Austin Peay State University	admissions@apsu.edu
Ave Maria University	admissions@avemaria.edu
Averett University	admit@averett.edu
Avila University	admissions@avila.edu
Azusa Pacific University	admissions@apu.edu
Babson College	ugradadmission@babson.edu
Baker University	admission@bakeru.edu
Baldwin Wallace University	admission@bw.edu
Ball State University	askus@bsu.edu
Baptist College Of Florida	admissions@baptistcollege.edu
Baptist College Of Health Sciences	admissions@bchs.edu
Barclay College	admissions@barclaycollege.edu
Bard College	admission@bard.edu
Bard College Berlin	admissions@berlin.bard.edu
Bard College Simons Rock Early College	admit@simons-rock.edu
Barnard College	admissions@barnard.edu
Barry University	admissions@barry.edu
Barton College	enroll@barton.edu
Bastyr University	admissions@bastyr.edu
Bates College	admission@bates.edu
Bath Spa University	internationaladmissions@bathspa.ac.uk
Bay Path University	admiss@baypath.edu
Baylor University	admissions@baylor.edu
Beacon College	admissions@beaconcollege.edu
Becker College	admissions@becker.edu
Belhaven University	admission@belhaven.edu
Bellarmine University	admission@bellarmine.edu
Bellarmine University	admissions@bellarmine.edu
Belmont Abbey College	admissions@bac.edu
Belmont University	admissions@belmont.edu
Belmont University	buadmission@belmont.edu
Beloit College	admiss@beloit.edu
Bemidji State University	admissions@bemidjistate.edu
Benedict College	admissions@benedict.edu
Benedictine College	bcaudle@benedictine.edu
Benedictine College	bcadmiss@benedictine.edu
Benedictine University Az	mesa@ben.edu
Benedictine University Il	admissions@ben.edu
Bennett College	admiss@bennett.edu
Bennington College	admissions@bennington.edu
Bentley University	ugadmission@bentley.edu
Berea College	admissions@berea.edu
Berklee College Of Music	admissions@berklee.edu
Berry College	admissions@berry.edu
Bethany College	enrollment@bethanywv.edu
Bethany College	admissions@bethanylb.edu
Bethany Lutheran College	admissions@blc.edu
Bethel College	admissions@bethelcollege.edu
Bethel College	admissions@bethelks.edu
Bethel University	admissions@bethelu.edu
Bethel University	buadmissions-cas@bethel.edu
Bethune Cookman University	admissions@cookman.edu
Beulah Heights University	admissions@beulah.edu
Biola University	admissions@biola.edu
Birmingham Southern College	admiss@bsc.edu
Birmingham Southern College	admission@bsc.edu
Bishops University	admissions@ubishops.ca
Black Hills State University	admissions@bhsu.edu
Blackburn College	admit@blackburn.edu
Blessing Rieman College Of Nursing	admissions@brcn.edu
Bloomfield College	admission@bloomfield.edu
Bloomsburg University Of Pennsylvania	buadmiss@bloomu.edu
Blue Mountain College	admissions@bmc.edu
Bluefield College	admissions@bluefield.edu
Bluefield State College	jschlimmer@bluefieldstate.edu
Bluffton University	admissions@bluffton.edu
Bob Jones University	admission@bju.edu
Boise State University	admissions@boisestate.edu
Boston College	bcapplicant@bc.edu
Boston College	studentservices@bc.edu
Boston University	admissions@bu.edu
Bournemouth University Uk	international@bournemouth.ac.uk
Bowdoin College	admissions@bowdoin.edu
Bowie State University	ugradadmissions@bowiestate.edu
Bowling Green State University	choosebgsu@bgsu.edu
Bradley University	admissions@bradley.edu
Brandeis University	admissions@brandeis.edu
Brenau University	admissions@brenau.edu
Brescia University	admissions@brescia.edu
Brevard College	admissions@brevard.edu
Brewton Parker College	admissions@bpc.edu
Briar Cliff University	admissions@briarcliff.edu
Bridgewater College	admissions@bridgewater.edu
Bridgewater State University	admission@bridgew.edu
Brigham Young University Hawaii	admissions@byuh.edu
Brigham Young University Idaho	admissions@byui.edu
Brigham Young University Provo	admissions@byu.edu
Brown University	admission_undergraduate@brown.edu
Brunel University London	international-admissions@brunel.ac.uk
Bryan College	admiss@bryan.edu
Bryant University	admission@bryant.edu
Bryn Athyn College	admissions@brynathyn.edu
Bryn Mawr College	admissions@brynmawr.edu
Bucknell University	admissions@bucknell.edu
Buena Vista University	admissions@bvu.edu
Butler University	admission@butler.edu
Cabarrus College Of Health Sciences	admissions@cabarruscollege.edu
Cabrini University	admit@cabrini.edu
Cairn University	admissions@cairn.edu
Caldwell University	admissions@caldwell.edu
California Baptist University	admissions@calbaptist.edu
California College Arts	admissions@cca.edu
California College Of The Arts	enroll@cca.edu
California Institute Of The Arts	admissions@calarts.edu
California Institute Technology Caltech	ugadmissions@caltech.edu
California Lutheran University	admissions@callutheran.edu
California Maritime Academy	admissions@csum.edu
California State Polytechnic University Pomona	admissions@cpp.edu
California State University Bakersfield	admissions@csub.edu
California State University Chico	info@csuchico.edu
California State University Dominguez Hills	info@csudh.edu
California State University East Bay	admissions@csueastbay.edu
California State University Fresno	admissions@csufresno.edu
California State University Fullerton	admissions@fullerton.edu
California State University Long Beach	eslb@csulb.edu
California State University Los Angeles	admission@calstatela.edu
California State University Monterey Bay	admissions@csumb.edu
California State University Northridge	admissions.records@csun.edu
California State University Sacramento	admissions@csus.edu
California State University San Bernardino	moreinfo@csusb.edu
California State University San Marcos	apply@csusm.edu
California State University Stanislaus	outreach_help_desk@csustan.edu
California University Of Pennsylvania	inquiry@calu.edu
California University Pennsylvania	admissions@calu.edu
Calumet College Of St Joseph	admissions@ccsj.edu
Calvary University	admissions@calvary.edu
Calvin College	admissions@calvin.edu
Cambridge College	admissions@cambridgecollege.edu
Cameron University	admissions@cameron.edu
Campbellsville University	admissions@campbellsville.edu
Canisius College	admissions@canisius.edu
Capital University	admission@capital.edu
